3:3:4:5:1:0:1:0.000016:[[0,0,1],[0,0,0],[1,0,0]]
3:3:4:11:1:0:1:0.000005:[[0,0,2],[0,0,0],[3,0,0]]
3:3:4:13:1:0:1:0.000007:[[4,0,0],[0,6,0],[0,0,10]]
3:3:4:17:1:0:1:0.000005:[[0,0,7],[0,0,0],[15,0,0]]
3:3:4:19:1:0:1:0.000005:[[8,0,0],[0,18,0],[0,0,12]]
3:3:4:23:1:0:1:0.000005:[[0,0,18],[0,0,0],[8,0,0]]
3:3:4:29:1:0:1:0.000005:[[0,0,3],[0,0,0],[8,0,0]]
3:3:4:31:1:0:1:0.000006:[[6,0,0],[0,11,0],[0,0,26]]
3:3:4:37:1:0:1:0.000005:[[8,0,0],[0,27,0],[0,0,8]]
3:3:4:41:1:0:1:0.000009:[[0,0,40],[0,0,0],[17,0,0]]
3:3:4:43:1:0:1:0.000006:[[9,0,0],[0,5,0],[0,0,23]]
3:3:4:47:1:0:1:0.000006:[[0,0,46],[0,0,0],[45,0,0]]
3:3:4:53:1:0:1:0.000006:[[0,0,8],[0,0,0],[20,0,0]]
3:3:4:59:1:0:1:0.000006:[[0,0,27],[0,0,0],[33,0,0]]
3:3:4:61:1:0:1:0.000006:[[52,0,0],[0,60,0],[0,0,4]]
3:3:4:67:1:0:1:0.000006:[[9,0,0],[0,5,0],[0,0,65]]
3:3:4:71:1:0:1:0.000007:[[0,0,55],[0,0,0],[41,0,0]]
3:3:4:73:1:0:1:0.000007:[[47,0,0],[0,66,0],[0,0,15]]
3:3:4:79:1:0:1:0.000007:[[10,0,0],[0,66,0],[0,0,76]]
3:3:4:83:1:0:1:0.000005:[[0,0,74],[0,0,0],[11,0,0]]
3:3:4:89:1:0:1:0.000007:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:97:1:0:1:0.000006:[[58,0,0],[0,5,0],[0,0,46]]
3:3:4:101:1:0:1:0.000009:[[0,0,67],[0,0,0],[29,0,0]]
3:3:4:103:1:0:1:0.000007:[[90,0,0],[0,90,0],[0,0,20]]
3:3:4:107:1:0:1:0.000007:[[0,0,34],[0,0,0],[63,0,0]]
3:3:4:109:1:0:1:0.000008:[[46,0,0],[0,90,0],[0,0,64]]
3:3:4:113:1:0:1:0.000008:[[0,0,95],[0,0,0],[70,0,0]]
3:3:4:127:1:0:1:0.000009:[[126,0,0],[0,126,0],[0,0,20]]
3:3:4:131:1:0:1:0.000008:[[0,0,6],[0,0,0],[25,0,0]]
3:3:4:137:1:0:1:0.000007:[[0,0,32],[0,0,0],[3,0,0]]
3:3:4:139:1:0:1:0.000010:[[129,0,0],[0,123,0],[0,0,129]]
3:3:4:149:1:0:1:0.000009:[[0,0,47],[0,0,0],[130,0,0]]
3:3:4:151:1:0:1:0.000009:[[9,0,0],[0,132,0],[0,0,137]]
3:3:4:157:1:0:1:0.000009:[[47,0,0],[0,132,0],[0,0,93]]
3:3:4:163:1:0:1:0.000010:[[153,0,0],[0,8,0],[0,0,153]]
3:3:4:167:1:0:1:0.000011:[[0,0,103],[0,0,0],[104,0,0]]
3:3:4:173:1:0:1:0.000011:[[0,0,148],[0,0,0],[10,0,0]]
3:3:4:179:1:0:1:0.000012:[[0,0,62],[0,0,0],[67,0,0]]
3:3:4:181:1:0:1:0.000011:[[8,0,0],[0,26,0],[0,0,8]]
3:3:4:191:1:0:1:0.000010:[[0,0,89],[0,0,0],[44,0,0]]
3:3:4:193:1:0:1:0.000009:[[152,0,0],[0,23,0],[0,0,30]]
