3:3:4:5:1:0:1:0.000004:[[0,0,3],[0,0,0],[1,0,0]]
3:3:4:7:1:0:1:0.000006:[[0,0,0],[0,4,0],[0,0,0]]
3:3:4:11:1:0:1:0.000009:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:13:1:0:1:0.000005:[[4,0,0],[0,2,0],[0,0,4]]
3:3:4:17:1:0:1:0.000005:[[0,0,7],[0,0,0],[5,0,0]]
3:3:4:19:1:0:1:0.000003:[[0,0,0],[0,11,0],[0,0,0]]
3:3:4:23:1:0:1:0.000005:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:29:1:0:1:0.000007:[[0,0,15],[0,0,0],[7,0,0]]
3:3:4:31:1:0:1:0.000005:[[0,0,0],[0,4,0],[0,0,0]]
3:3:4:37:1:0:1:0.000006:[[35,0,0],[0,27,0],[0,0,35]]
3:3:4:41:1:0:1:0.000006:[[0,0,2],[0,0,0],[40,0,0]]
3:3:4:43:1:0:1:0.000003:[[0,0,0],[0,35,0],[0,0,0]]
3:3:4:47:1:0:1:0.000007:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:53:1:0:1:0.000004:[[0,0,10],[0,0,0],[48,0,0]]
3:3:4:59:1:0:1:0.000005:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:61:1:0:1:0.000007:[[10,0,0],[0,14,0],[0,0,10]]
3:3:4:67:1:0:1:0.000003:[[0,0,0],[0,16,0],[0,0,0]]
3:3:4:71:1:0:1:0.000007:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:73:1:0:1:0.000006:[[57,0,0],[0,63,0],[0,0,57]]
3:3:4:79:1:0:1:0.000007:[[0,0,0],[0,4,0],[0,0,0]]
3:3:4:83:1:0:1:0.000007:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:89:1:0:1:0.000007:[[0,0,26],[0,0,0],[76,0,0]]
3:3:4:97:1:0:1:0.000007:[[8,0,0],[0,14,0],[0,0,8]]
3:3:4:101:1:0:1:0.000007:[[0,0,22],[0,0,0],[90,0,0]]
3:3:4:103:1:0:1:0.000007:[[0,0,0],[0,83,0],[0,0,0]]
3:3:4:107:1:0:1:0.000007:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:109:1:0:1:0.000007:[[89,0,0],[0,2,0],[0,0,89]]
3:3:4:113:1:0:1:0.000005:[[0,0,2],[0,0,0],[112,0,0]]
3:3:4:127:1:0:1:0.000008:[[0,0,0],[0,107,0],[0,0,0]]
3:3:4:131:1:0:1:0.000008:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:137:1:0:1:0.000009:[[0,0,14],[0,0,0],[130,0,0]]
3:3:4:139:1:0:1:0.000009:[[0,0,0],[0,16,0],[0,0,0]]
3:3:4:149:1:0:1:0.000009:[[0,0,34],[0,0,0],[132,0,0]]
3:3:4:151:1:0:1:0.000008:[[0,0,0],[0,4,0],[0,0,0]]
3:3:4:157:1:0:1:0.000009:[[22,0,0],[0,14,0],[0,0,22]]
